state,total_loans,default_rate,avg_loan
AR,8084,10.98,14426
AL,12460,10.96,14793
OK,9780,10.85,15243
NE,5086,10.77,14370
LA,11512,10.73,15026
MS,6706,10.45,14729
NV,15360,9.99,14795
HI,4668,9.83,16539
SD,2101,9.80,14909
NY,84867,9.75,15185
NM,5486,9.61,15067
NC,29247,9.60,15125
FL,77413,9.57,14787
IN,18057,9.40,14803
KY,10200,9.39,14476
MO,16770,9.39,14806
CA,141149,9.35,15861
MN,17947,9.32,15008
PA,34643,9.29,15059
MD,24999,9.27,16286
TX,87990,9.24,15986
AK,2298,9.23,17813
MI,27414,9.20,14529
NJ,37954,9.12,16203
OH,35034,9.07,14562
TN,17487,9.05,14828
AZ,25419,8.98,14853
ND,2450,8.98,15885
VA,28068,8.78,16492
MA,23651,8.67,15820
DE,3037,8.66,15070
UT,6758,8.49,15756
WY,2113,8.33,15864
GA,34893,8.19,15701
WI,13918,7.99,14754
IL,42161,7.98,15750
MT,2840,7.57,14557
RI,4629,7.50,14580
KS,8564,7.25,15197
CO,22354,7.21,15374
WA,20964,7.21,15802
SC,13357,6.96,15157
CT,16516,6.60,15700
ID,2971,6.43,14668
DC,2214,6.28,16406
NH,5154,6.19,15266
OR,11999,5.95,14583
ME,3485,5.60,15027
VT,2343,5.46,13950
WV,4005,4.27,15445
